,호텔이름,평점,후기
13,라마다 전주,4.0,호텔 방이 생각보다 너무 작았습니다. 별도의 욕조도 화장실에 없었구요. 방에 커피 등 타먹을 수 있게 되있는데 흔한 티스푼 하나 없었습니다. 루프탑은 가격도 너무 비싸고 칵테일도 없고 종류가 너무 적어서 별로였네요. 조명이나 인테리어 등 잘 꾸며놓았다는 생각은 크게 안들었습니다.
14,라마다 전주,4.0,"개인적으로 3년전 라마다 호텔에 대한 좋은 기억 때문에 다시 찾았지만 다시 찾은 라마다는 많이 실망스러웠습니다. 실망스러운 이유는 아래와 같습니다. - 첫째, 에어컨의 바람 방향을 조절하는 블레이드가 움직이면서 소리가 났습니다. - 둘째, 수건의 올들이 나가있었습니다. 생각보다 3성 호텔 수건들 치고는 수건의 끝의 올들이 나가있는 모습은 매우 충격이였습니다. - 셋째, 밤에 생각이상으로 덥습니다. 에어컨의 문제인건지는 모르겠으나 밤에 객실 내부가 필요이상으로 더웠으며, 에어컨의 온도를 최저로 낮췄음에도 불구하고 상당이 에어컨의 성능이 떨어져 보였습니다. 저희 객실만 그랬을지도 모르겠으나, 어쨌건 룸 컨디션 관리가 매우 빈약한 것으로 보이며, 해당 부분에 대한 개선이 필요할 것 같습니다."
15,라마다 전주,2.0,화장실에서 시장 어물전 냄새가 낫고 옥상 테라스는 가게맥주집 분위기임.
16,라마다 전주,6.0,"호텔은 괜찮은데, 그 앞에 건물 공사 때문에 아침 7시부터 엄청 시끄러웠어요... 호텔에서 공사 시간을 9시 정도 부터 시작해달라고 협의하면 좋을 것 같네요.."
17,라마다 전주,8.0,만족했습니다.
18,라마다 전주,6.0,나쁘지 않았습니다 저녁에 조금 더웠는데 에어콘이 작동이 안되어서 조금 당황스러우
19,라마다 전주,2.0,추웠어요..
20,라마다 전주,10.0,새로운 호텔이라 깨끗하고 조용하고 좋았어요!
21,라마다 전주,6.0,룸 난방작동 안되어 조금 기다리면 된다며 2시간 기다리다 다른방으로 교체하고 카트없이 늦은밤 춥게 있다가 풀어놓았던 짐을 고객이 옮겨 서비스 불만으로 불쾌함이 높았습니다. 전에 스위트롬 사용 할 때도 난방기 작동 부족으로 추워 밤에 샤워 못함.
22,라마다 전주,10.0,"한옥마을,객리단길 모두 도보 이동 가능해서 편했어요! 풍년제과 본점도 가깝고 여러 맛집들도 근처에 많아 좋았습니다^^ 단, 직원분들은 좀 딱딱한 느낌이랄까; 그냥 저는 그렇게 느껴졌어요. 그것 빼고는 만족스러운 숙소입니다!"
23,라마다 전주,4.0,"2월 18-19일 숙소 이용했는데 날씨가 춥긴 했지만 ,진짜 냉골인 방을 해주셨고 온풍으로 30도에 맞춰놓고 자도 밤새 내내 추워 죽는지 알았습니다 머리까지 이불을 덮고 잤네요"
24,라마다 전주,6.0,위치나 시설과 친절함은 좋았는데 방음이 별로라 외부소음이 너무 잘들리고 화장실 하수구 냄새가 올라와 쾌적하지 못했습니다.
25,라마다 전주,8.0,"관광도시를 지향하는 전주이지만, 적당한 중가 가족호텔이 없어 며칠 묵고 가기가 어려웠다. 전주 라마다 호텔을 찾고 그 브랜드 가치 때문에 즐겁게 숙박하였다. 고급호텔은 아니지만, 합리적인 경영이라고 생각한다. 다만 아침 식사가 빈약하고, 공조기나 팬 시설이 소음을 내기 시작한다. 직원 서비스가 완숙하지 못하다. 공교롭게도 코로나-19 탓에 관광객이 뚝 떨어진 시기이다."
26,라마다 전주,8.0,놀곳이랑 가까워서 좋았습니다. 한옥마을이랑두 가깝고 갱리단길이랑도 가까웠습니다. 시설도 나쁘지않았습니다
27,라마다 전주,8.0,그런대로 지낼만합니다. 아주 고급은아님
28,라마다 전주,10.0,조용하고 깨끗해서 좋았어요. 조식도 가격대비 잘나오는편입니다. 다음에 다시 방문할게요.
29,라마다 전주,10.0,시설만족. 침구.욕실 청결 만족. 위치도 만족. 주차도 만족. 서비스 역시 만족. 모두 만족스럽습니다.
30,라마다 전주,10.0,전주 구도심에서 적당한 수준으로 숙박할 수 있는 유일한 호텔입니다. 다만 구도심에 있어 오로지 숙박만 하시게 됩니다.
31,라마다 전주,8.0,깔끔하고 안락했습니다 화장실도 깨끗하고 어메니티도 좋으며 직원들도 친절합니다. 등에 거미줄이 있었는데 구조가 어쩔수없는 듯 합니다. 방이크고 인테리어가 좋아 위쪽 같은 곳 청소하시려면 힘들것 같습니다. 윗층 욕조 물빼는 소리가 크게 들리는것만 마이너스이고 나머진좋습니다
32,라마다 전주,8.0,"근처에 중앙시장 떡골목 및 번화가가 있어 저녁식사를 즐길 곳은 많으나 호텔 자체의 시설이 없는 것이 아쉬움. 욕조가 없는 비지니스호텔의 특성을 고려하여 사우나가 있었으면 좋을 것 같음. 난방이 천정에어컨에 의지하다 보니 창가쪽은 바람이 바로 떨어져 덥고, 벽쪽은 추움..."
33,라마다 전주,10.0,급하게 보낼 서류가 있었는데 프린트할 수 있게 배려해 주시고 궁금한 부분에 대해서 친절하게 설명해 주었어요. 숙소 깨끗하고 조식도 좋았답니다~
34,라마다 전주,2.0,서비스 최악입니다. 많이 가봤지만 이런 경우는 처음 비추 조식 하지마세요. 먹을거 없어요. 미숙하고 어설프 여긴 믿고 pass
35,라마다 전주,6.0,난방이 천정 시스템 에어컨애만 의지하여 실내가 너무 건조함. 주변이 관광지라 조금만 걸으면 음식점 등 많이 있어 편리하고 다른 것은 큰 문재 없으나 방이 너무 건조함. 조식은 그런대로 먹을만 하였음.
36,라마다 전주,8.0,전체적으론 좋았으나 변기수압이 너무약했습니다. 소변보고 휴지두쪽넣은것도 안내려가서 몇번을 물내리니 겨우내려갔어요.
37,라마다 전주,2.0,욕실에는 욕조도 없구 치약도 면도기도 없었다 무늬만 호텔이구 모텔보다 못하다
38,라마다 전주,10.0,전체적으로 만족스러웠습니다.^^ 룸내 비치되어있던 컵에 (머그컵) 물때가 끼어있어 사용하지 못했어요. 일회용 면도기가 있었으면 좋겠어요
39,라마다 전주,8.0,"주차장소가 협소하여 불편했고, 프론트데스크 응대가 친절하지 못해서 아쉽습니다. 시설은 청결했지만 방음이 되지 않는게 단점이네요"
40,라마다 전주,2.0,방관리를 어떻게했는지 냄새가 나서 자고일어나 머리가 너무 아픔
41,라마다 전주,8.0,테라스도 넓고 좋았어요~!
42,라마다 전주,8.0,침구류의 청결상태가 아주 좋았으며 숙면을 취할 수 있었습니다. 층간 소음도 전혀 없었습니다.
43,라마다 전주,8.0,"구도심 편리한 위치, 청결하고 편안함. 조식 뷔페도 그런대로 괜찮음."
44,라마다 전주,10.0,안좋은 후기를 보고 엄청 고민했지만.. 기대 이상이였습니다. 롷은 룸 컨디션에 비하여 창문쪽 청소가 엉망인점은 뭐..패스.. 우려되었던 서비스 문제도 전혀 문제 될게 없이 친절 하셨습니다. 조식도 제 기준에서는 훌륭했고요. 주차가 좀 애매하긴 한데 평일 오후에는 지하에도 자리가 많았습니다. 저녁되니 헬이더군요 특히 야외주차장은.. 한옥마을까지는 조금 거리가 있지만 못걸어갈 위치도 아닙니다. 뒷쪽으로 편의점 그리고 시장들이 쭉 있고 전체적으로 만족 합니다! 국내여행 초심자라 호텔을 선택 했지만 후회는 없네요!
45,라마다 전주,8.0,가격대비 성능이 우수한 곳입니다. 침구류가 아주 고급은 아니지만 깨끗하게 잘 정돈 되어 있고 특히 아침 식사가 맛있었습니다. 한식의 고장 전주여서 그런지... 한식이요 ㅎ
46,라마다 전주,8.0,"1. 룸 내부는 굉장히 좁으나, 내부 청결 좋고, 침대는 안락함 2. 복도의 창문이 온갖 벌레와 먼지로 가득함 룸 이외에 다른 공용시설도 청결도좀 신경 썼으면.... 3. 피트니스실 기구 별로 없음, 4성급 호텔에 맞지않게 부대시설 너무 없음 수영장도 없음 4. 주변에 상권은 형성 되어 있어 이용이 편함"
47,라마다 전주,10.0,위치가 한옥마을에서 1km라 적당히 걸으면서 시내도 구경하고 한옥마을을 즐기기에 아주 좋았어요
48,라마다 전주,10.0,한옥마을 걸어가기에는 조금 멀지만 날씨 좋을 때는 산책할 겸 왔다갔다 하기 괜찮습니다.
49,라마다 전주,8.0,대체로 큰 문제 없이 무난했습니다. 근처에 편의점 같은 게 조금 더 많았다면 더욱 좋았을 것 같네요.
50,로니호텔,8.0,인테리어도 깔끔하고 호텔위치도 좋고 깨끗해서 만족했습니다:)
51,로니호텔,10.0,숙소는 깔끔하고 한옥마을이랑 거리가 가까워 관광하기 좋았습니다.
52,로니호텔,10.0,매우만족
53,로니호텔,8.0,객리단길에서 놀고 쉬기 좋은숙소 객리단길이랑 가까워서 좋아요 가성비갑
54,로니호텔,6.0,에어컨 고장나있었고 테라스에 담배꽁초가 많았어요. 시설은 대체로 낡았고 에어컨 고쳐주신다고 문을 막 여시던데 인기척이 없었더라도 미리 전화를 주시고 올라오셨어야 한다고 생각합니다.
55,로니호텔,10.0,주차 편하고 내부도 나쁘지 않아요. 아주 깨끗하진 않지만 이정도면 가성비가 좋네요
56,로니호텔,2.0,숙소가 사진이랑 매우다름 위치는 좋아요 너무 오래되 냄새와 쾌쾌 방음 깔끔하진 않아요... 찝찝했습니다 모텔느낌이에요
57,로니호텔,2.0,호텔 볼링장! 객실에 소리 다 들림
58,로니호텔,10.0,발코니에서 가족이 같이 한잔 할 수 있어 넘 좋았습니다 방도 생각보다 널직하고 주차도 편리하고^^
59,로니호텔,10.0,"시내에 있어서 한옥마을 구경하고 와서 잠깐 쉬었다가 시내구경하기도 좋고, 밥먹을데도 많아서 좋았습니다. 그런데, 방에 불이 너무 어두웠습니다. 그리고 탁자에 먼지가 그대로 있어서 좀 아쉬웠습니다. 그래도 가족끼리 잘 쉴수 있어서 좋았습니다."
60,로니호텔,10.0,
61,로니호텔,6.0,침대 삐그덕소리가 심합니다. 직원의 서비스마인드가 부족합니다 위치는 객사에 있어 걸어서 편하게 다닐수 있어요.
62,로니호텔,6.0,쌀쌀했던날였고 온도를 높여놓고 네시간이 지나도 추워서 이불밖을 나올수가 없었고 청소상태가 깨끗함을 느끼지 못했다
63,로니호텔,10.0,Hotel was very comfortable and good condition. Parking was also convenient and spacious.
64,로니호텔,10.0,깨끗하고 좋아요 주차장 입구 찾기가 초행길이라 어려워요
65,로니호텔,8.0,주차장이 두 층이 있으나 차간 간격이 너무 좁아서 트렁크로 내렸음. 뒤에 들어온 가족분들도 운전자분께서 욕하면서 트렁크로 내리심. 주차장 개선이 필요해보임.. 룸컨디션이나 직원들 친절도는 매우 만족 :)
66,로니호텔,10.0,방도 깨끗하고 욕실도 깨끗해요... 수건도 넉넉하고 쾌적했어요 조식도 생각보다 맛있고 좋았네요...
67,로니호텔,8.0,전반적으로 아늑하고 넓고 좋았는데 구석구석 먼지가 보여 조금 아쉬웟네여 ㅠ 다음날 주차도 2시까지 허용해주시고 유명한 스팟들을 도보로 이용가능해서 편안하게 이용했습니다!
68,로니호텔,10.0,가족이 이용하기에 조용하고 방크기도 좋네요
69,로니호텔,4.0,"밤마가 무슨 기계 돌아가는 소리인지, 드르륵 드르륵 소리에 잠을 잘 못잤음. 객실, 욕실도 지저분하고... 다시 오고 싶지 않은 모텔같은 호텔임."
70,로니호텔,6.0,침대가 안좋음.
71,로니호텔,10.0,
72,로니호텔,8.0,"호텔 위치가 전주시내 중앙통, 번화가라 호텔 주변에서 먹거리, 쇼핑 등 할수 있으며, 걸어서 한옥마을이나 남부 야시장 이동이 가능하여 가족 단위 여행객들에게 적극 추천할만한 숙소임"
73,로니호텔,8.0,카운터 전화응대 불만족 서비스
74,로니호텔,8.0,객실이 넓어서 좋았습니다. 겨울인데 난방이 따듯하게 잘 되어서 좋았습니다. 화장실 청소만 조금 더 신경쓰면 좋을것 같습니다.
75,로니호텔,10.0,전주 시내에 위치해서 찾기 쉽고 주차장 이용도 편리합니다. 한옥마을까지 걷기에는 좀 멀지만. 조식도 만족합니다.
76,로니호텔,6.0,주변이 관광지여서 이용하기가 수월했고 직원분의 친절이 인상적 이었습니다
77,로니호텔,8.0,위치가 좋아요
78,로니호텔,8.0,"관광호텔이랑 건물 전체적인 분위기는 호텔의 분위기가 크지 않지만, 그래도 호텔이여서 전체적으로 깨끗하고, 관리가 잘된 느낌이다."
79,로니호텔,10.0,대체로 만족 가족 룸이지만 화장실이 개방형이라 조금 불편하였슴
80,로니호텔,10.0,청결하고 서비스 좋았어요
81,로니호텔,8.0,침대상태가 사진처럼 좋지는 않았어요. 시내에 있어서 그런지 밤늦게까지 떠들며 지나가는 사랑들 소리가 들렸어요.
82,로니호텔,8.0,일단 호텔 위치가 너무 좋았어요 한옥마을도 가까웠고 번화가에 있어 구경거리도 많아 흡족했어요 호텔시설은 소소한데 조식도 나름 괜찮고 트윈룸을 사용했는데 편안했어요 그런데 청소나 이런게 좀 모텔수준으로 깔끔하지 않았어요
83,로니호텔,10.0,조식이.. 너무 부실했어요
84,로니호텔,6.0,일단 위치는 좋습니다 주차장도 넓고요 단 먼지가 너무 많습니다 청소가 영 안되어있습니다 욕실 샴푸 린스 등이 명시가 안되어 있습니다 조식은 좋습니다
85,로니호텔,2.0,"일단 너무 좁아서 일본 호텔이 생각남. 정말 민망하게 좁아요..8만원대에 결제햇는데 너무 후회;; 너무 좁은데 걸어다닐수잇게끔만 만들어놓은 방이고 화장실도 그냥 변기+ 샤워기뿐;; 사진처럼 베란다가 잇는줄알았는데 전혀 없고, 칫솔이나 세면용품 따로 구입해야되는데 체크인때 말안해줘서 다시 내려갓다옴; 로비에 인터폰 연결도 안되있고 서비스 너무 안좋아여!"
86,로니호텔,10.0,위치도 너무너무 좋았고 직원분들도 친절하시구 다 좋았어요. 볼링장 소리가 꽤 들린다고 후기 보고 걱정했는데 그렇게 잠설치고 그럴정돈 아니었어요. 엄청엄청 예민하시고 그런분 아니시면 괜찮을듯!
87,로니호텔,8.0,장점 : 가격대비 청결하고 시설편하다. 엘리베이터 2개. 4층 로비에 1000원 커피와 야외 테이블 비치. 욕실에 수건 4개. 발판용 수건. 치약 칫솔제외하고는 샴푸 린스 샤워젤 비누 다 있음. 심지어는 화장솜과 면봉 빗도 준비되어 있음. 실내화 목욕가운도 있음. 2박 동안 청소 잘해줌. 단점 : 화장실문이 잠기지 않고 샤워부스가 없어서 샤워하면 바닥이 다 젖음. 애매한 점 : 위치...한옥마을이나 남부시장까지 거리가 조금 애매.
88,로니호텔,4.0,"여러 후기를 읽었을때 볼링장 소리가 시끄럽다고 했지만, 워낙에 잘자는 스타일이라 큰 걱정없이 예악 했는데 자다가 깰정도로 소음이 너무 컸습니다. 볼링장은 2층이고 해당 숙소는 5층이었는데도 새벽내내 시끄러워서 잠을 못잤어요. 프런트에 전화하니 볼링장 소음이라 어쩔수 없다는 반응이고, 작은 방으로 바꿔준다고 하셨는데 작은방에 갈수는 없으니 참고 잤습니다. 참고하세요"
89,로니호텔,6.0,1박2일 급벙개로 전주로 집결하여 노는 상황에서 만족스러움. 가족중에 좌식생활을 힘들어하시는 할머님이 계셔서 침대있는 방으로 잡다보니 본의아니게 번화가 호텔을 이용함. 깨끗하나 묘하게 어설픈 구석이 있지만 하룻밤 지내기엔 괜찮음 조식은 별로임. 미리 준비할 수 있었다면 한옥호텔을 이용했을듯
90,로니호텔,2.0,위치가 영화의거리라 시끄럽습니다. 침대가 매우 싸구려라 허리아프고 욕조도 비데도 없습니다. 리뉴얼 했다지만 기본 낡은 호텔이라 이번 출장중 최악의 숙소 였습니다. 절대 다시는 방문하지 않을 생각입니다.
91,로니호텔,10.0,체크인 할 때 엄청 친절하고 좋았습니다.
92,로니호텔,10.0,편안하고 좋았어요.
93,로니호텔,10.0,Good~
94,로니호텔,10.0,
95,로니호텔,10.0,
96,로니호텔,6.0,침대 두개중에 한개는 푹신하고 좋았고 한개는 딱딱하고 안좋아요. 왜 다른건지 모르겠네요. 조용한곳으로 부탁해서 6층이었음에도 볼링장소리 들려요. 그리고 천장 에어컨에서 울리는 소리가 나서 잠을 잘 못잤어요. 객실은 넓고 청결하고 다좋았는데 소음이 문제였네요.
97,로니호텔,8.0,"호텔 룸 컨디션이 매우 좋았어요. 따뜻하고 침구 청결상태도 좋고 샤워 온수 온도도 일정하고요. 우선 지역 위치가 매우 괜찮아서 컨택하게 되었구요^^ 아쉬운 점은 화장실 어매니티가 별로인 것. 치약 칫솔이 아예 없어서 당황했고요. 생수이외의 일회용 커피나 녹차가 없어서 호텔이 맞나? 하는 의아심이 생겼어요. 조망은 아예 기대할 수 없었구요ㅎㅎ 그럼에도 불구하고 방 안, 침대 속에 있을 때의 편안함이 좋아서 5점 만점의 4점입니다^^"
98,로니호텔,10.0,시내에 위치한 호텔 바로 옆에 관광지가 있습니다.
99,로니호텔,10.0,생각보다 방과 욕실이 작지 않았고 깨끗하게 관리가 잘 되어있었습니다 교통도 편해서 하룻밤 아주 기분 좋게 묵고갑니다
100,사랑가득,6.0,"한옥체험을 하고 싶어서 간 곳인데 가격이 너무 저렴해서 혹시나 했더니 역시나였음. 이불커버와 베게커버도 새거로 교체하지 않아있고, 소음은 바로 옆에서 얘기하는 것과 같았고, 화장실은 너무 좁아서 샤워를 하기 불편했고, 에어컨물이 방안으로 떨어지고, 체크인 하려는데 사람이 없어서 어떻게 해야하는지 당횡스러웠었음."
101,사랑가득,10.0,잘 쉬다갑니다!! 방도 넓고 깨끗하고 좋네요. 후기에 방음안된다길래 걱정했는데 걱정할 정도는 아닌것 같아요! 추천합니다!
102,사랑가득,8.0,"한옥 마을 내에 있는 숙소라, 교통 통제 중에도 길을 잠시 열어주셔서 주차하기는 편했습니다. 위치는 한옥마을 중심부 바깥이지만 그 때문에 외부 소음은 거의 없었습니다. 다만 한옥 특성상인지 내부 방음은 전혀 되지 않아 그 부분은 좀 불편했네요. 또 저흰 보일러를 틀지 않았는데, 어느새 보온이 되어있어 약간 더웠습니다."
103,사랑가득,8.0,한옥마을 향교 근처의 조용한 곳에 위치해있어서 좋았습니다.~ 시설도 깨끗했어요
104,사랑가득,10.0,"출장으로 인해 출장지 근처 슥소 찾다가 다른곳보다 방이 넓은 사랑가득을 선택하게 됨. 침구류도 매우 깨끗하고, 수건도 넉넉히 많이 주셔서 세가족 머무르는 동안 안락하게 잘 머무르다감. 나무 마루에 앉아만 있어도 절로 마음이 착 가라앉으면서 평온해짐. 위치도 좋고 깔끔하고 무엇보다 이 가격을 내고 이렇게 누리다가도 되나 싶을정도로 좋았음. 전주 한옥마을 자체에 대한 호감도 상승!! 가족여행시 숙박으로 매우 좋아요!!"
105,사랑가득,10.0,분위기랑 느낌이 정말 좋았어요 방음이잘안되는게아쉽네여 담에 또 들릴게뇨
106,사랑가득,8.0,넘 깨끗하고 좋았어요
107,사랑가득,8.0,저렴한 가격에 잘 다녀왔어요. 한옥마을까지 좀 걸어가야해서 걸어서 왔다갔다 하는 시간을 많이 소비하긴 했지만 깨끗하고 온돌이 너무 따듯해서 정말 만족했어요 뜨거운 바닥에 누워있으니까 넘좋았엉요 근데 옆방 소리가 말소리까지 다 들릴정도여서 그건 좀 신경쓰였어요
108,사랑가득,10.0,숙소앞에 주차장이 있어 너무 편했어요 정원이 너무 예쁘네요 호스트님두 친절하시고 방도 조용하고 시원해서 너무 만족했습니다 다음에 가족들과 다시 한번 더 놀러 올께요^^
109,사랑가득,4.0,"방음이 전혀 안되요. 옆방에 아이들 소리, 다른 옆방에는 아저씨들 소리, 조식도 빵 한종류.. 더는 가고 싶지않아요"
110,사랑가득,10.0,정원이 예쁘고 방이 잘 관리되어 있었습니다 주인분이 친절하셨습니다 주변이 조용해서 푹 쉴 수 있었습니다
111,사랑가득,8.0,
112,사랑가득,6.0,
113,사랑가득,10.0,
114,사랑가득,10.0,
115,사랑가득,8.0,
116,호텔 다빈,8.0,다 좋았는데 샤워하면 샤워부스 밖으로 물이 넘침
117,호텔 다빈,8.0,텔레비전이 안된거 외에 괜찮아요 방도 깨끗하고 위치도 좋아요
118,호텔 다빈,10.0,깨끗하고 친절합니다. 시설도 훌륭합니다. 가족여행에는 최고로 좋은 호텔입니다.
119,호텔 다빈,10.0,깨끗하고 좋았습니다
120,호텔 다빈,8.0,깨끗하고 위치도 좋아요. 온돌방 이불은 얇아서 등이 아프네요.
121,호텔 다빈,10.0,위치가 아주 좋습니다. 청결상태도 좋았구요. 출장갈경우 다시 이용할것 같습니다.
122,호텔 다빈,10.0,아는분 지인 만나러 갔다가 숙박하게 됐는데 조용하니 좋았습니다. 마스크 착용 사람조심 했습니다. ㅎㅎ
123,호텔 다빈,10.0,깨끗하고 한옥마을이랑도 가깝고 좋아요
124,호텔 다빈,8.0,냉방이 중앙제어시스템인게 조금 아쉬웠지만 제외하고는 아주 만족스러웠습니다
125,호텔 다빈,8.0,숙소가 깨끗하고 한옥마을과 가까운거리에 있어서 편했습니다. 잘 묵고 갑니다
126,호텔 다빈,2.0,"전주한옥마을에 가까워서 이곳을 숙박지로 잡았다. 도착하니 아뿔사 5층정도의 건물인데, 앞뒤가 꽉 막힌 창문이라 여관보다 못한 위치이다. 문제는 그 다음이다. 그날은 비가와서 추웠다. 헌데 히타가 안되는 것이다. 후런트에 이야기 했더니, 한참후에야 연락이왔다. 고장이란다. 밤 11시30분까지 추위에 떨었다. 11시40분쯤 연락이 와서야 방을 바꾸어 주겠단다. 밤12시쯤 옮겼다. 새벽에 히타는 또 고장났다. 많은 여행과 호텔 모텔을 갔지만, 역대 최악이다."
127,호텔 다빈,8.0,"호텔자체는 정말 깨끗하고 좋아요. 다만, 바로 옆에 아주 큰 신천지건물이 있더라구요.^^"
128,호텔 다빈,10.0,조용하고 괜찮았음 조용하고 괜찮았음 조용하고 괜찮았음 조용하고 괜찮았음 조용하고 괜찮았음 조용하고 괜찮았음
129,호텔 다빈,10.0,전주한옥마을과 붙어있어 걸어다니며 맛집탐방과 볼거리 추억을 남길 수 있어 좋았습니다.
130,호텔 다빈,2.0,"호캉스를 마주가는데...지금까지 호텔중 저는 최악이었던것같습니다. 1. 방예매시 조식포함으로 비싸게 구매했는데 현장갔더니 조식같은건 없다네요. 이글을 보신분들은 조식없으니 없는걸로 싸게 구매하세요. 자기들은 모른다는 입장이며, 전 호텔스든 다빈이든 사기당한느낌입니다. 2. 엘레베이터 고장이나서 계단으로 왓다갓다했습니다. 3. 하수구가 막혀서 샤워하면 물이 안내려가서 최악이었습니다."
131,호텔 다빈,10.0,한옥마을과 가깝고 조용하고 무엇보다 가족들과 여행하는데 친절하고 깨끗해서 좋았습니다~
132,호텔 다빈,8.0,침구류도 좋았고 겨울인데 춥지도 않고 온수에 샤워부스에 간간히 쉴때 티비도 보면서 너무 좋았습니다.
133,호텔 다빈,2.0,"온돌방 2개 예약했어요 저희뿐 아니라 다른 가족까지 함께 숙박했습니다 룸 컨디션 좋다고해서 예약했습니다 겨울인데 외풍 심하고 방음 안되는 한옥보다 돈 더 내더라도 괜찮은곳 잡자 싶어서 몇군데를 비교한 끝에 여기로 결정했어요 룸 컨디션 괜찮았어요 전체적으로 깔끔했어요 이부자리에 머리카락, 털같은거 몇개있는것 빼고 전체적으로 깨끗하고 참을만 했습니다 그런데 정말 쪄죽고 싶으시면 가세요 들어가자마자 너무 더웠고 방에 온도 조절하는게 있길래 11도로 맞췄는데도 방온도는 계속 올라가더라고요 참다 참다 프론트에 전화하니 원격으로 조절해야한다고 9시 반쯤 보일러 온도 낮춰달라고 얘기했지만 절대 떨어지지 않는 방 온도... 30도를 찍더라고요... 12시쯤에 보일러를 아예 꺼달라고했어요. 에어컨은 틀수도 없고 방 온도 계속 30도 유지.. 바닥 식지 않아요 바닥 차가운 화장실 앞으로 이불 옮겨서 겨우 잠들었는데 새벽 4시 아이가 계속 잠을 못자고 창문쪽 벽에 붙어 앉아있더라고요 새벽 5시에 직원 불렀지만 야간 직원은 낮에 일하는 여직원들 탓 오전 체크아웃할때 프론트에 있던 직원은 야간 직원 탓 서로 남탓하기 바쁘네요 전주에 비상저감조치 문자 왔던 그날 2020년 1월 3일 아니 1월 4일 새벽 그 미친 먼지속에 창문 열고 현관문도 열고 잤습니다 우리 아이 온몸에 땀띠 올라오고 정말 스트레스받네요 밤새 고생했을 같이 숙박했던 다른 가족들에게도 너무 미안했어요 위치나 주차 괜찮지만 과한 난방과 그로 인한 직원들 처신 정말 못참겠네요 온도 조절이 필요하면 프론트로 연락주셔야 한다라는 말 체크인할때 못하나요? 조절되지도 않는 조절장치는 룸에 왜 붙어 있는거죠? 클레임 걸었고 호텔스닷컴에 연락해서 처리한다는데 처리를 하긴 하는지 지켜볼겁니다."
134,호텔 다빈,10.0,"전주한옥마을 입구에 위치한 호텔이라 번잡하고 시끄러울줄 알았는데 생각보다 조용해서 쉬기에 편안했음. 침대시트와 청소 상태도 깨끗하였고 편히쉬다가 왔음. 큰길부근에 위치하였으나 찾기쉬웠고,다만 주차장으로 진입할때 사고가 날뻔했다. 그런부분에 좀더 신경써주시기를 바람. 주변 사람들에게 추천하는 한옥마을 숙소이다."
135,호텔 다빈,8.0,숙소는 가격대가 룸등급 대비 높은듯합니다. 주차장 협소해서 약간 불편
136,호텔 다빈,2.0,1.처음 배정받은 방에 담배냄새가 남 4시간정도 환기하였지만 안빠짐 룸체인지후 2.이불에 먼지있음 방에 리모콘도 없음 3.욕실 샤워부스는 닦지않는지 000사랑해 라는 글씨가 지워지지않은체 그대로있음. 전체적으로 로비나 방의 디자인은 일반호텔과 다를게없음 위치적인면에서도 좋음 하지만 협소한 주차문제와 청결도는 별하나도 아까울지경임.
137,호텔 다빈,8.0,
138,호텔 다빈,8.0,체크인 시간이 좀 늦은편이고 체크아웃 시간이 빠른편입니다 이것만 빼면 아주 좋습니다 시설도 깨끗하고 큰길에 있으며 한옥마을까지 도보로 충분히 갈 수 있는 거리입니다
