,호텔이름,평점,후기
11,속초 라마다호텔,6.0,"자리는나쁘지 않습니다.약간 사선형 바다뷰, 객실상태,서비스 딱 중간입니다."
12,속초 라마다호텔,10.0,아주아주 만족스럽습니다. 침대는 푹신하고 아침에 눈을뜨면 일출이 캬~~ 해수욕장도 가까워서 좋았네요 푹 쉬다 갑니다~
13,속초 라마다호텔,6.0,가격대비 수준이 호텔로는 아쉽네요. 해외 라마다에 비해 격이 부족한 느낌. 호텔이라기보다 바다가 숙박시설이라고 해야할듯. 주변에 횟집 말고는 관광 포인트가 없어서 아쉬웠습니다. 주차부족은 소문대로 심각한 수준.
14,속초 라마다호텔,8.0,생각보다 더 깔끔하고 좋았습니다
15,속초 라마다호텔,10.0,"객실 만족, 2층 디너 뷔페 대만족."
16,속초 라마다호텔,10.0,위치가 참 좋아요! 하프오션뷰였는데도 바다가 잘 보였어요. 오히려 설악산까지 보이니 더 좋더라구요. 전체적으로 깨끗하고 대포항에서 저녁먹고 걸어오기 가까워서 편리했습니다.
17,속초 라마다호텔,10.0,가족과 머물기 좋습니다 오션뷰에서 탁트인 바다를 보니 스트레스도 풀리네요 추천합니다
18,속초 라마다호텔,10.0,주차공간은 부족했지만 깔끔하고 편했어요. 객실에서 맞는 일출이 정말 판타스틱 이었어요..
19,속초 라마다호텔,8.0,가성비 좋은 뷰 맛집
20,속초 라마다호텔,10.0,모두 만족하나 주차장이 협소하여 대형승용차는 외부주차장에 주차하게 되는데 장마라 진흙탕 부분이 있어 자갈포설이던 잔디블록이던 개선이 시급해보이네요 그외는 무척 만족합니다. 아침 조식도 무척 맛있게 먹었어요~
21,속초 라마다호텔,4.0,엘리베이터가 너무 느리고 투숙객 체크아웃 시간에는 5분이상기다리게 함. 킹사이즈 배드는 매트리스를 두개 붙여서 만들어 중간이 불편합니다. 주차 공간 협소해서 외부 공용주차장 주차하고 출차시 마다 주차권 받아가야함.
22,속초 라마다호텔,10.0,조금 올드한 느낌은 있었지만 훌륭했습니다 주차공간이 문제인거같어요
23,속초 라마다호텔,8.0,"위치, 안락함, 전망, 교통의 편리함 모든면에서 좋았음. 다만, 퇴실 시간에 많은 인원이 이용해야할 엘리베이터의 수가 총 5대로 터무니없이 부족해서 매우 불편했음."
24,속초 라마다호텔,10.0,일출 보기에는 속초라마다호텔이 최고죠~~~^^ 이번엔 장마라 그런지 구름이 방해를 했네요~~호텔뷔페도 너무 좋았구요. 식사하면서 보는 오션뷰와 대포항뷰도 너무 좋았습니다. 잘 쉬다 왔어요~
25,속초 라마다호텔,4.0,가격이 비싸긴 했지만... 위치나 그런 편리성은 좋아요
26,속초 라마다호텔,6.0,청결한 객실. 욕실등을 켜면 방안이 다 환해져서 자고 있는 식구들에게 민폐.
27,속초 라마다호텔,10.0,대포항 안에 위치해있어 너무나 먹으러 가기도 좋고 편하게 내부시설도 이용하고 다시 이용할 의향이 있습니다
28,속초 라마다호텔,6.0,비오는날 파도소리를 들으며 머물기에 딱인 호텔. 청결도나 침구류 상태는 양호한 정도 입니다.
29,속초 라마다호텔,10.0,강원도가면 늘 가는 호텔입니다
30,속초 라마다호텔,10.0,5월연휴때 이어 8월휴가도 속초로가서 또 라마다이용했는데요 위치는 진짜 최고인거같아요 룸컨디션두 깨끗하고 잘쉬다왔습니다 5층에 커피숍 밤엔 라이브바인거 같은데서 오션뷰여서 한참을 바다멍하기좋아요 ㅎ
31,속초 라마다호텔,8.0,괜찮았어요! 조식과 카페 저녁도 굉장히 잘 나왔습니다. 숙소 근처에 튀김골목 있어서 재밌게 먹으면서 놀 수 있어요! 아 근데 주차하러 가는 길 너무 무섭습니다;; 너무좁아요
32,속초 라마다호텔,8.0,방에서 정면으로 바다가 보이는 뷰는 좋았으나 방충망 청결상태가 불량했어요 세명이 숙박하는데 타올이 부족했음
33,속초 라마다호텔,8.0,"가격에 비해 방 컨디션이 그렇게 좋은 편은 아니네요..ㅎ 극성수기라 이해는 하지만 주차장 이용도 불편하고, 무엇보다 벽지도 다 울고...ㅎ 다음에 또 이용은 안할 것 같아요."
34,속초 라마다호텔,10.0,덕분에 바다뷰를 보면 좋은 휴가 보내고 왔습니다.
35,속초 라마다호텔,8.0,Our room was cozy and clean. The view was amazing with ocean view and we got to see the sunrise on our bed at 5:30 am. My husband and I were initially excited for a super big bed but then we realized it was two twin beds put together. It would have been nicer if the front desk had informed us or if it was one double bed as we have booked rather than two beds put together.
36,속초 라마다호텔,8.0,가성비 있게 지낼만해요!
37,속초 라마다호텔,8.0,"속초에서 적당히 쾌적하게 오션뷰로 즐길 수 있는 숙소였습니다. 시내도 가깝고 좋습니다. 엄청나게 시설이 좋다거나 깨끗하지는 않아도, 문제삼을 만한 것 없이 쾌적합니다."
38,속초 라마다호텔,2.0,화장실 유리가 반투명이라 실루엣이 다보여요. 러브호텔같아서 별로네요
39,속초 라마다호텔,4.0,위치하나 빼고는 가격대비 부족함이 많은곳
40,속초 라마다호텔,10.0,"안타깝게도 놀러가는 내내 호우경보였는데 취소 불가능해서 일단 가서 룸에서 놀자 하고 갔었어요 . 룸은 깨끗했고 침대도 넓어서 아기랑 룸에서 퍼즐하고 놀고 티븨보고 푹 쉬다 왔네요 , 석식 부페도 맛있었어요 대게가 촉촉한 느낌은 없었지만 그래도 안짜고 맛있었고 32갤 아기랑 같이 갔는데 그렇게 부페 많이 먹은적 처음이었어요 ㅎㅎ 비많이와서 갈때까진 우울했는데 도착하고 나서는 그래도 푹 쉬다와서 좋았어요 ㅎㅎ 담날 오전에 해 반짝 떴을때 잠깐 아기 모래놀이도 해줄 수 있어서 암튼 전체적으로 좋았어요~~ ㅎㅎ"
41,속초 라마다호텔,10.0,편안하게 잘 쉬고 갑니다
42,속초 라마다호텔,4.0,"매번 속초갈때 마다 라마다를 선택했는데 이번 여행은 꽝. 세탁 수건은 일반 모텔보다 수준 이하 너덜너덜 너무 달았고, 침대 위 화장실 하수구엔 긴 머리카락 투성이고 정말 다시는 선택하고 싶은 맘이 없음"
43,속초 라마다호텔,2.0,너무너무 실내가 별로입니다 벽지는 다 떠있고 쾌쾌한 실내냄새가 나며 화장실은 너무 작아서 세면대가 밖에 나와있습니다 엘리베이터 속도는 ....속이 터질 지경입니다 성수기라서 더욱더 가격대비 최악이고 다신 가고 싶지않습니다
44,속초 라마다호텔,10.0,"바다쪽 더블침대 사용, 방도 넓고 뷰도 아름답고 좋았고 메이드하시는 분들도 정말 친절하게 필요한것 잘 챙겨주셨어요. 보통 다른 호텔보다 더블침대가 조금 좁다고 느껴졌어요. 한가지 방에 들어가 카드키를 꼽는순간 TV가 켜지는것이 좋지않았어요. 위치가 관광 음식점 편의점(호텔내) 모두 편했습니다. 옆에 외옹치항 회집도 걸어서 이용가능하였구요."
45,속초 라마다호텔,10.0,아주 청결한 실내와 오션뷰가 기가막힌곳 강추임
46,속초 라마다호텔,10.0,처음 입실한 방에서 불미스러운 일이 있어서 호텔측에 항의하니 지배인이 사과하고 다른 방으로 교체 함
47,속초 라마다호텔,8.0,여유롭고 깨끗하고 좋았습니다. 마스크 안쓰고 조식이용하시는 분들이 꽤 되던데 시기가 시기인만큼 그부분은 좀 관리가 되어야 할 것 같고요 시설과 쾌적함면에서 아주 좋은 휴가였습니다. 주변에 식당도 많고 바다향기로라는 산책로도 있어서 참 좋았어요.
48,속초 라마다호텔,8.0,바다전망 너무 좋고 룸상태 깨끗합니다 룸도 조용하고 편의시설과 식당 가까워서 편리하게 지냈습니다
49,속초 라마다호텔,8.0,화장실 문이 잘 안닫히고 잘 안열렸어요
50,씨 크루즈 호텔,10.0,깔끔하니 맘 편하게 하루 보내고 왔습니다 도보거리로 속초관광시장이 있어 좋았습니다
51,씨 크루즈 호텔,8.0,"룸컨디션이나 위치는 좋으나 엘리베이터가 최악입니다 1층 내려가려면 기본 5분은 기다려야 하네요 엘리베이터 대수부족은 물론 로직도 이상한듯 합니다. 고층전용, 저층전용 구분되어 운영되면 효율적이긴 할거 같은데...나머지 서비스나 기타 사항들은 가성비 좋네요"
52,씨 크루즈 호텔,10.0,깨끗하고만족
53,씨 크루즈 호텔,8.0,호텔 주차장이 계속 만차여서 야외에있는 간이주차장 이용했는데요. 호텔과 2분정도 거리로 꽤 가까운편이지만 상주하는 직원이 없어서 불편했습니다. 주차하거나 차량 뺄때 계속 프론트에 요청해야했네요 이거빼고는 전반적으로 만족스러웠어요
54,씨 크루즈 호텔,4.0,성수기라고 하지만 이가격에 이건 아니죠.. 다시는 이용하고싶지 않네요...깨끗하지만 방은 정말 작음
55,씨 크루즈 호텔,4.0,
56,씨 크루즈 호텔,8.0,얼리체크인도 그냥 해주시고 따로 불편한점은 없었네요 한가지 아쉬운건 룸안에 따로 테이블이 없어 맥주한잔 하기 아쉬운정도네요
57,씨 크루즈 호텔,10.0,"다들 비슷한 후기일 것 같은데, 엘리베이터 이용 (특히, 체크아웃시) 이외에는 딱히 흠잡을데는 없어요. 3층 라운지에서 즐거운 시간 보냈네요."
58,씨 크루즈 호텔,8.0,다좋았습니다.
59,씨 크루즈 호텔,8.0,전반적으로 만족스러웠지만 엘리베이터가 가장 큰 문제인거 같아요. 혼잡스러운 시간대에는 줄서서 타야하고 고층일경우에는 더더욱 대기시간이 길어집니다. 엘리베이터만 개선된다면 완벽할꺼 같네요.
60,씨 크루즈 호텔,10.0,화장실이 너무 쾌적해서 좋았고 방음이 잘되서 좋아요~ 그런데 엘리베이터 한번 타려면 기본 10분 대기에요. 홀수 짝수층 따로 운행이 필요할듯요~ 속초해수욕장 걸어서 25분이라길래 걸었다가 다리 뽀개질뻔했어요 50분은 걸리니 차를 이용하세요~
61,씨 크루즈 호텔,10.0,최신 건물이어서 그런지 아주 깨끗하고 만족스럽습니다. 1층에 편의점괴 카페가 있어서 더욱 좋습니다.
62,씨 크루즈 호텔,10.0,엘리베이터가 느리다는 얘기를 알고가서 인가 다 괜찮았습니다.
63,씨 크루즈 호텔,10.0,"현관문 여는 순간 바닷가임에도 불구하고 습한 느낌이 아니어서 좋았습니다. 작지만 발코니도 좋았고, 중앙시장이 생각보다 가까웠습니다."
64,씨 크루즈 호텔,8.0,"속초관광 수산시장과도 가깝고 인근에 상점, 식당, 병원도 있고 위치적으로 아주 좋았습니다 객실내 베란다가 있어서 그런지 처음 배정 받은 방에서는 담배 냄새가 많이 나고 냄새를 덮기 위한 스프레이 방향제 냄새가 많이 나서 다른 방으로 교환 배정 받았습니다 객실대비 주차장 공간은 협소한 편인듯 해요"
65,씨 크루즈 호텔,4.0,겉은 괜찮은데 방음 너무 안되구요 윗층옆방에서 복도에서 쿵쾅대는 소리가 너무 크게 들려요..복불복이겟지만 아파트 층간소음 느낌이에요 늦게까지 잠도 못자고 전 불편하고 피곤한 여행이엇네요..
66,씨 크루즈 호텔,10.0,조식 맛있다는 이야기를 들었는데 먹을게 많지도 맛도 그저 그랬습니다 :) 그래도 객실은 깨끗하고 안락했습니다!
67,씨 크루즈 호텔,6.0,가성비 좋게 할인가로 일찍 휴가다녀왔어요
68,씨 크루즈 호텔,6.0,"프론트 직원 체크인 교육은 조금 부족합니다,"
69,씨 크루즈 호텔,8.0,
70,씨 크루즈 호텔,8.0,"위치, 시설, 가격 매우 양호한편입니다."
71,씨 크루즈 호텔,6.0,하프뷰 괜찮지만 엄청 깨끗한 편은 아닌거같아요ㅠㅠ 전화기에 먼지가 너무 많앗어요ㅜㅜ 조용한 방으로 달라고 요청드렸으나 윗방 주변까지 너무 시끄러웠어요ㅠㅠ
72,씨 크루즈 호텔,8.0,일단 깔끔하고 중앙시장까지 도보로 가능합니다. 다만 아쉬운 점은 주말에 주차공간이 조금 부족한 듯하고 특히 엘레베이터가 부족합니다. 퇴실시간쯤 되면 엘베 타기가 힘듬니다
73,씨 크루즈 호텔,8.0,급하게 하루전날 예약하느라 대충 평만보고 예약했어요 뷰가 없는방이라 좀 답답했지만 고층이라 시티뷰는(산)나쁘지 않았어요(가격대비)저흰16층이었고 19충까지 있는듯~ 싸게 간거치고는 그래도 호텔이라 침구도 깔끔했고 트윈인데 방은 좀 좁아서 캐리어 큰거 펼칠때 약간 비좁긴했음요~어메니티는 어차피 호텔거 안써서 노상관~ 엘레베이터가 매우 붐비는게 단점이었음요~1층에 이마트편의점있고 파스쿠치있어요 주차장 매우좁은데 만차되면 호텔바로앞에 주차할수있어요~ 화장실이 입구쪽에 있는데 뭔가 매우 어두컴컴하고 좀 좁았으나 청결상태 나쁘지 않았고 세면대앞 거울에 불 들어옴요 자다가 화장실 쓸때 불켜면 눈부셔서 거울불켜고갔어여(팁)
74,씨 크루즈 호텔,8.0,뷰가 생각보다 좋았어요.
75,씨 크루즈 호텔,10.0,"속초 중심가 로데오 거리에 접해 있음 아바이마을로 건너가는 갯배 선착장과 가깝고, 주변에 속초를 대표하는 식당들이 넘쳐남 관광시장, 청초호, 칠성조선소, 동아서적 등 모두 도보로 이동 가능함 쾌적한 룸 컨디션은 보너스임"
76,씨 크루즈 호텔,8.0,위치가 정말 좋습니다. 중앙시장 가깝고 바다도 잘 보였고 아침에 해뜨는것도 잘 보였습니다. 룸상태도 괜찮았습니다. 엘리베이터가 3대였지만 투숙객이 많아서 조금 불편했고 지하에 만차라 외부에 주차해야 한것만 빼면 전체적으로 만족합니다.
77,씨 크루즈 호텔,8.0,가성비대비 좋았어요 ! 조식포함이였는데 생각지도 못한 호텔조식클라스 !! 조식 넘 맛있었어용 ~~~ 주변 관광지도 다 근처에 있어서 걸어다닐수 있고 좋았습니당 위치도 룸컨디션도 굿굿 >_< 주차대수와 엘레베이터가 잘 안잡혀 아쉬웠지만 그건 고급호텔가도 사람몰리면 엘베 기다려야하는건 마찬가지니깐여 !! 잘 쉬었다 갑니당 ~~~
78,씨 크루즈 호텔,10.0,숙소도 너무 깔끔하고 깨끗하고 조식도 맛있고 좋았어요
79,씨 크루즈 호텔,8.0,"위치가 이동에 편리해서 좋았구요. 시설도 깨끗하고 뷰도 맘에 들었는데, 엘리베이터가 좀 혼잡하고 룸에서 약간 큼큼한 냄새가 났네요. 그거 말곤 다 좋았어요."
80,씨 크루즈 호텔,10.0,두번째 숙박하는 곳으로 자그마하지만 깨끗하고..쾌적하고 좋았습니다. 저렴한 가격으로 바다도 보이고 아주 좋습니다.
81,씨 크루즈 호텔,6.0,대부분 괜찮았어요 근데 밤에 화장실에서 자꾸 담배냄새 올라와서 힘들었네요. 그것빼고는 다 좋았습니다.
82,씨 크루즈 호텔,10.0,"호텔 위치, 교통이 너무 좋고 특히 주변 관광지와 핫플레이스들이 가까운 곳에 많아 도보이용이 편리했습니다. 호텔 룸 상태, 편의시설, 서비스, 전망이 훌륭하네요.. 룸 업그레이드 서비스로 아내와 즐겁고 행복한 여행이었습니다. 감사합니다."
83,씨 크루즈 호텔,10.0,저렴한 가격에 좋은 방 배정 받아서 좋았고 가려고 했던 곳들 접근성이 매우 좋았습니다 다음번에 또 속초를 가게 된다면 그때도 씨크루즈로 예약할거에요
84,씨 크루즈 호텔,8.0,"룸컨디션과 숙소 위치 뷰 너무 좋았습니다. 2박 묶고 룸클리닝을 부탁드렸는데, 폼클렌징을 마음대로 버리셨네요... 물건이 없어졌지만 직원이 와서 변명만 하고 어떠한 조치가 없어서 기분ㅇ 좀 그렇네요.. 연박하시면 객실정비는 왠만하면 하지마세요..이 가격에 특급호텔의 직원서비스나 피드백을 바라는 저도 욕심인것 같지만요. 물건을 마음대로 버리시고, 건든적 없다고 하시니...직원서비스나 주차 부분 빼고는 만족이요.."
85,씨 크루즈 호텔,10.0,대부분 기대이상이었어요. 엘리베이터는 조금 느렸어요.
86,씨 크루즈 호텔,8.0,깔끔하고 가격대비 좋습니다. 체크인이 늦었는데 프런트 직원분께서 체크아웃도 12시로 변경해 주셨습니다. 주차장이 작은것이 조금 아쉬웠습니다.
87,씨 크루즈 호텔,10.0,전망도 좋았고 어딜가든 중심이라 차 없어도 편하게 여행할수 있었어요 깨끗하고 직원들도 친절했구요
88,씨 크루즈 호텔,10.0,서비스가 좋았습니다!!
89,씨 크루즈 호텔,10.0,"호텔시설도 깨끗하고, 주변 경관도 좋았습니다. 조식도 훌륭하고요. 특히, 여사장님인 듯한 분의 품격있는 친절함과 어머님 같은 자상함과 섬세함이 인상적이었습니다."
90,씨 크루즈 호텔,10.0,속초 가격대비 이만한곳은 드물다
91,씨 크루즈 호텔,10.0,깔끔하고 위치도 조아요
92,씨 크루즈 호텔,10.0,정말 속초에서 최고입니다. 항상 변함없이 번창하세요
93,씨 크루즈 호텔,8.0,시내와 호수가 반씩 보이는 객실에 묵었는데 야경 좋았어요. 연휴기간이라 객실이 만실이였고 엘레베이터가 너무 느린데다 복잡해서 길게는 10이상 기다리는 경우가 허다했습니다. 3층 테라스공간은 플라스틱 테이블과 의자로 설치돼있고 L로 표시된 루프탑공간은 아무것도없어요. 좀 실망했어요. 시내와가깝고 편의점도있어 그건 좋았네요.롤빗 비치돼있지않아요.샴푸린스 챙겨가세요
94,씨 크루즈 호텔,2.0,1층에 편의점이 있는건 좋았습니다 저녁늦게 체크인해서 맥주한잔마시고 느즈막히 잠이들었다가 새벽 3시쯤 화장실에서 올라오는 이상한 냄새때문에 머리가아파서 깼는데 깨고나니 이상한 가스가 룸안에 꽉차있다고 느꼈고 급하게 창문을 열고 환기를 시켰습니다 그럼에도 불구하고 계속 헛구역질이 나오고 알레르기성 비염이 평소에 있어본적이 없는데 코가계속막히고 한쪽눈에서 눈물이 멈추질않더군요 상태가 안좋아서 카운터에 얘기할 겨를없이 급히 체크아웃하고 나왔습니다 나오는 그와중에도 엘리베이터때문에 거의 15분이상을 기다렸습니다 다신 이곳에 숙박하지않을것같습니다
95,씨 크루즈 호텔,10.0,깨끗하고 친철해서 좋고 뷰가 끝내줌!!! 단 욕실 샤워부스 물이 잘 안빠져 불편함 개선 필요
96,씨 크루즈 호텔,8.0,애기들과 방문이었는데 깔끔하고 좋았어요. 갑작스런 여행에 실수로 작은객실로 예약을 해버려서..제 실수였음. 담에는 더 넓은 객실로 이용해야지요.
97,씨 크루즈 호텔,10.0,가격대비 너무 좋았습니다. 밤에체크인하여 야경만보고 몰랐는데 아침에 일어나니 바다뷰가 너무 좋았습니다.
98,씨 크루즈 호텔,6.0,"얼리체크인이 안되는걸 몰랐다. 한시간반쯤 일찍 도착했는데 만원내시면 체크인이 된다고 하여 피곤한 식구가 있어서 그렇게 하기로 했다. 방으로 올라가니 베란다방충망을 달고 있었는데 바람이 너무 심하고 약간 휘어져서 달지 못하고 직원이 갔다. 게다가 방은 깨끗했는데 휴지통이나 컵뚜껑등 청소의 마무리가 잘 되어 있지 않았다. 아쉬움에 프론트에 어필하니까 방을 체인지하거나 만원을 환불해 드릴수 있다며 죄송하다는 답변을 들었다. ㅡ장점: 접근성, 조식. 일층의 편의점과 카페 파스쿠치. 깔끔한 내부시설."
99,씨 크루즈 호텔,10.0,청소가 약간 덜된 상태에서 체크없이 룸배정을 해주신것외에 다 괜찮았어요 아... 히터 소리가 진짜컸어요 ㅠㅠ 나머진 다 오케이입니다~~~
100,그린라군 호텔 인 설악,10.0,"호텔 안에 스파가 있어서 너무 좋았어요 다만 스파 시설 중에 고장난 부분이 고쳐지질 않는다며 클레임을 거는 고객과의 실랑이에서 스파 직원의 태도와 처우가 좋지 않아 눈살일 조금 찌푸리게 만들었는데, 그 외의 호텔 직원분의 서비스와 호텔 내 있는 편의점 아르바이트생도 너무 친절했어요~~ 카운터 매니저(였었겠죠?) 분이 제가 중복 예약을 해서 원래 취소가 안되는 건데 익스피디아랑 통화를 해주시면서 당일 무료취소를 해주셨거든요. 감사감사~~>|\\\< 또 이용할게요~"
101,그린라군 호텔 인 설악,8.0,괜찮았습니다. 스파가 좋았고 깨끗했습니다.
102,그린라군 호텔 인 설악,10.0,깨끗하고 좋아요 담번에도 속초갈일있음 갈것같아요
103,그린라군 호텔 인 설악,10.0,대부분의 직원분들이 반갑게 응대 해주시고 시설도 깨끗했어요. 특히나 수질이 정말 좋았어요!
104,그린라군 호텔 인 설악,10.0,"독특함 혹은 차별점은 다른 호텔과 비교하여 크게 말할것이 없으나, 신축 건물답게 조용하고, 깨끗합니다, 창문이 고장난 상태로 방치되어 꽉 닫기지 않는것을 억지로 닫는 수고로움을 제외하면 비품의 비치상태나 청결 등은 추천드릴수 있습니다"
105,그린라군 호텔 인 설악,10.0,코인세탁소가 없어서 좀 불편했어요. 호텔은 전반적으로 굿^^
106,그린라군 호텔 인 설악,8.0,"설악산 국립공원과 매우 가깝고 호텔 시설도 크고 좋습니다. 무엇보다 사우나와 찜질방이 꽤 크고 너무 좋았습니다. 찜질방 내에 마사지도 매우 잘하셔서 2박 3일 묵으면서 이틀을 받았어요. 그런데 처음에 호텔스닷컴에서 조식 3인포함으로 예약했는데, 호텔측에서 2인만 주셔서 다행히 캡처한 사진이 있어 받기는 했는데 시스템 정리가 필요한 것 같습니다. 조식은 기대는 안했는데, 생각보다 빵이 매우 맛있었어요~ 직원분들은 친절하고 좋았고 룸 상태도 좋았습니다. 그런데 처음에 방에 들어섰을때 좋지 않은 굽굽한 냄새가 나서 창 계속 열어뒀어요~ 방충망이 있어서 시원하고 나쁘진 않았어요~"
107,그린라군 호텔 인 설악,10.0,"차를 이용했는데 속초 시내나 설악워터피아 등에 접근성이 좋았고, 숙소 자체가 깨끗하고 좋았습니다. 다만 욕실에 문이 유리라서 변기를 이용하는 동안 밖에서 안을 들여다 볼 수 있는 구조라서 불편한 점이 있었습니다."
108,그린라군 호텔 인 설악,10.0,처음 가격에 별기대 않했는데 시설면이나 규모면에서 놀랬고 무엇보다 온천 스파가 인상적이였습니다^^ 가족여행으로 추천하고픈 호텔이네요
109,그린라군 호텔 인 설악,10.0,바닷가리조트보다 바람소리가 적어 조용합니다. 설악산 배경을 한 온천욕장과 깨끗한 찜빌방은 적극 추천합니다. 룸컨디션 좋고 와이파이 상태 좋구요. 맛집은 매우 가싸움 곳에 많고 국립공원 입구에서 매우 가깝습니다. 새집증후군 있는 분은 민감할 듯 합니다.
110,그린라군 호텔 인 설악,6.0,조식이 별로에요. 공사가 덜 끝난 주변환경은 다소 불편까지는 아니지만 덜 쾌적한 느낌이라서 조금 그랬어요.
111,그린라군 호텔 인 설악,10.0,깨끗하고 좋았어요~
112,그린라군 호텔 인 설악,2.0,"다른 룸을 모르겠지만, 더블베드 룸 경우 불을 킨 상태에서 화장실 사용 시 실루엣이 그대로 보여서 매우 민망함. 방문 앞 센서등이 고장나서 꺼짐과 켜짐이 반복되 프론트에 전화하니 늘 있었던 일처럼 바로 등을 막아준다고 응대, 직원이 카드키 두 장을 투명테이프로 등에 붙여놓아서 당황스러움. 센서등이 고장난 걸 알고 있었던 게 분명한데 고치지 않고 미봉책으로 대응하는 수준이라니... 대형 욕조기는 하나 어린이/어르신들이 사용하기에는 위험함 (매우 미끄럽고 턱이 높기에) 가족여행이건 커플여행이건 이 호텔은 신중히 생각하고 결정하시길 바래요"
113,그린라군 호텔 인 설악,8.0,새 호텔이라 시설이 깨끗해서 좋았습니다. 참구류가 아주 마음에 들었습니다. 다만 방이 좀 좁아요.
114,그린라군 호텔 인 설악,8.0,속초가족여행으로 그린라군에 1일머물렀어요. L층에 온천 대중탕이 있어서 저녁에 피곤함을 풀어줄 수 있어 좋았습니다. 설악산과 가까워서 설악산여행 생각하는 분들께 추천해드립니다.
115,그린라군 호텔 인 설악,8.0,"주변에 볼 게 너무없다는 점은 단점이나, 속초시내까지 차로 20분이면 닿으니 특별한 불편함은 없었고 신축건물이라서 깔끔한 느낌이 들었음. 조식은 가격이 저렴했는데, 가지수가 적고 대부분이 반조리 식품 등을 데워나오는 형태여서 만족스럽지는 않았음. 호텔 내에 온천수 사우나가 있어 이용했는데 동네 목욕탕 수준의 시설이었으나 호텔에서 온천욕을 할 수 있단것만으로 만족함."
116,그린라군 호텔 인 설악,8.0,룸 컨디션 좋았습니다. 산 밑이라 전망은.. 산? 평일에 간거라.. 조식은 이용할 수 없었습니다. 전반적인 서비스는.. 뭔가.. 조금은 더 안정이 되야할 느낌?? 룸 안에도 실리카 온천수가 나온다고 하지만 사우나 이용해봤습니다. 좋구요~ 찜질방은 이용불가였습니다~
117,그린라군 호텔 인 설악,8.0,시내에서 좀 많이 떨어져 있긴해요 터널도 지나야 하고 그래도 룸 컨디션 아주 최상으로 깨끗하고 관리가 잘 되어 있어요 스파도 함께 이용했는데 찜질방이랑 야외온천이 없어서 많이 아쉬웠어요
118,그린라군 호텔 인 설악,8.0,방이 깔금하고 정돈이 잘 되어 있어서 우선 너무 맘에 들었어요. 프리미엄 트윈방을 부킹했는데 욕실에 욕조가 없어서 좀 아쉬웠어요 ㅠ 방도 생각보다는 작긴했지만 그래도 만족스러워요^^ 편의점이 있지만 주변에 식당이 많이 없어요.
119,그린라군 호텔 인 설악,8.0,깨끗하고 편했습니다. 다만 입구가 꼬여있어 조금 해맸습니다
120,그린라군 호텔 인 설악,6.0,새로생겨서 깔끔하나 디테일한 관리가 부족한 느낌입니다. 설악산과 매우 가까워서 설악산에 가실 분들은 가보실만 하겠네요.
121,그린라군 호텔 인 설악,10.0,전체적으로 신건물이라 깨끗하고 직원분들 친절합니다. 다시가고싶고 스파 또한 너무 좋습니다. 아이들도 함께가도 좋을꺼같습니다.
122,그린라군 호텔 인 설악,10.0,Stylish. Quiet. Not expensive. Comfortable. Excellent spa.
123,그린라군 호텔 인 설악,8.0,"The building was newer. The room was spacious and clean. There were no directions in English on how to ask for room service. After the second day, I had to go down and ask the front desk to get our rooms serviced. Otherwise, our stay was pleasant."
